Accuracy: 0.436363636364
IMAGE                                		ACTUAL CATEGORY		PREDICTED CATEGORY
test_set/cup/image_0001.jpg          		cup          		emu          
test_set/cup/image_0002.jpg          		cup          		emu          
test_set/cup/image_0003.jpg          		cup          		cup          
test_set/cup/image_0005.jpg          		cup          		emu          
test_set/cup/image_0007.jpg          		cup          		cup          
test_set/cup/image_0008.jpg          		cup          		emu          
test_set/cup/image_0009.jpg          		cup          		emu          
test_set/cup/image_0011.jpg          		cup          		emu          
test_set/cup/image_0013.jpg          		cup          		emu          
test_set/cup/image_0014.jpg          		cup          		emu          
test_set/cup/image_0015.jpg          		cup          		emu          
test_set/cup/image_0017.jpg          		cup          		emu          
test_set/cup/image_0018.jpg          		cup          		emu          
test_set/cup/image_0019.jpg          		cup          		emu          
test_set/cup/image_0020.jpg          		cup          		emu          
test_set/cup/image_0021.jpg          		cup          		emu          
test_set/cup/image_0022.jpg          		cup          		emu          
test_set/cup/image_0025.jpg          		cup          		emu          
test_set/cup/image_0026.jpg          		cup          		emu          
test_set/cup/image_0027.jpg          		cup          		cup          
test_set/cup/image_0029.jpg          		cup          		emu          
test_set/cup/image_0031.jpg          		cup          		emu          
test_set/cup/image_0033.jpg          		cup          		emu          
test_set/cup/image_0034.jpg          		cup          		emu          
test_set/cup/image_0035.jpg          		cup          		emu          
test_set/cup/image_0036.jpg          		cup          		emu          
test_set/cup/image_0037.jpg          		cup          		emu          
test_set/cup/image_0038.jpg          		cup          		emu          
test_set/cup/image_0039.jpg          		cup          		emu          
test_set/cup/image_0040.jpg          		cup          		emu          
test_set/cup/image_0042.jpg          		cup          		emu          
test_set/cup/image_0043.jpg          		cup          		emu          
test_set/cup/image_0045.jpg          		cup          		emu          
test_set/cup/image_0046.jpg          		cup          		emu          
test_set/cup/image_0047.jpg          		cup          		emu          
test_set/cup/image_0048.jpg          		cup          		emu          
test_set/cup/image_0050.jpg          		cup          		emu          
test_set/cup/image_0051.jpg          		cup          		emu          
test_set/cup/image_0052.jpg          		cup          		emu          
test_set/cup/image_0053.jpg          		cup          		emu          
test_set/cup/image_0054.jpg          		cup          		emu          
test_set/cup/image_0057.jpg          		cup          		emu          
test_set/emu/image_0001.jpg          		emu          		emu          
test_set/emu/image_0002.jpg          		emu          		emu          
test_set/emu/image_0003.jpg          		emu          		emu          
test_set/emu/image_0006.jpg          		emu          		emu          
test_set/emu/image_0007.jpg          		emu          		emu          
test_set/emu/image_0008.jpg          		emu          		emu          
test_set/emu/image_0009.jpg          		emu          		emu          
test_set/emu/image_0011.jpg          		emu          		emu          
test_set/emu/image_0012.jpg          		emu          		emu          
test_set/emu/image_0013.jpg          		emu          		emu          
test_set/emu/image_0014.jpg          		emu          		emu          
test_set/emu/image_0015.jpg          		emu          		emu          
test_set/emu/image_0016.jpg          		emu          		emu          
test_set/emu/image_0017.jpg          		emu          		emu          
test_set/emu/image_0019.jpg          		emu          		emu          
test_set/emu/image_0020.jpg          		emu          		emu          
test_set/emu/image_0022.jpg          		emu          		emu          
test_set/emu/image_0023.jpg          		emu          		emu          
test_set/emu/image_0024.jpg          		emu          		emu          
test_set/emu/image_0025.jpg          		emu          		emu          
test_set/emu/image_0026.jpg          		emu          		emu          
test_set/emu/image_0027.jpg          		emu          		emu          
test_set/emu/image_0028.jpg          		emu          		emu          
test_set/emu/image_0030.jpg          		emu          		emu          
test_set/emu/image_0031.jpg          		emu          		emu          
test_set/emu/image_0032.jpg          		emu          		emu          
test_set/emu/image_0035.jpg          		emu          		emu          
test_set/emu/image_0036.jpg          		emu          		emu          
test_set/emu/image_0038.jpg          		emu          		emu          
test_set/emu/image_0040.jpg          		emu          		emu          
test_set/emu/image_0042.jpg          		emu          		emu          
test_set/emu/image_0044.jpg          		emu          		emu          
test_set/emu/image_0045.jpg          		emu          		emu          
test_set/emu/image_0046.jpg          		emu          		emu          
test_set/emu/image_0047.jpg          		emu          		emu          
test_set/emu/image_0049.jpg          		emu          		emu          
test_set/emu/image_0052.jpg          		emu          		emu          
test_set/emu/image_0053.jpg          		emu          		emu          
test_set/flamingo_head/image_0001.jpg		flamingo_head		emu          
test_set/flamingo_head/image_0002.jpg		flamingo_head		emu          
test_set/flamingo_head/image_0003.jpg		flamingo_head		emu          
test_set/flamingo_head/image_0004.jpg		flamingo_head		flamingo_head
test_set/flamingo_head/image_0006.jpg		flamingo_head		flamingo_head
test_set/flamingo_head/image_0008.jpg		flamingo_head		emu          
test_set/flamingo_head/image_0009.jpg		flamingo_head		emu          
test_set/flamingo_head/image_0011.jpg		flamingo_head		emu          
test_set/flamingo_head/image_0012.jpg		flamingo_head		emu          
test_set/flamingo_head/image_0013.jpg		flamingo_head		flamingo_head
test_set/flamingo_head/image_0015.jpg		flamingo_head		emu          
test_set/flamingo_head/image_0016.jpg		flamingo_head		emu          
test_set/flamingo_head/image_0017.jpg		flamingo_head		flamingo_head
test_set/flamingo_head/image_0018.jpg		flamingo_head		emu          
test_set/flamingo_head/image_0019.jpg		flamingo_head		emu          
test_set/flamingo_head/image_0020.jpg		flamingo_head		emu          
test_set/flamingo_head/image_0021.jpg		flamingo_head		emu          
test_set/flamingo_head/image_0023.jpg		flamingo_head		cup          
test_set/flamingo_head/image_0024.jpg		flamingo_head		emu          
test_set/flamingo_head/image_0025.jpg		flamingo_head		emu          
test_set/flamingo_head/image_0027.jpg		flamingo_head		flamingo_head
test_set/flamingo_head/image_0029.jpg		flamingo_head		emu          
test_set/flamingo_head/image_0030.jpg		flamingo_head		emu          
test_set/flamingo_head/image_0032.jpg		flamingo_head		flamingo_head
test_set/flamingo_head/image_0033.jpg		flamingo_head		flamingo_head
test_set/flamingo_head/image_0034.jpg		flamingo_head		emu          
test_set/flamingo_head/image_0039.jpg		flamingo_head		emu          
test_set/flamingo_head/image_0041.jpg		flamingo_head		emu          
test_set/flamingo_head/image_0044.jpg		flamingo_head		emu          
test_set/flamingo_head/image_0045.jpg		flamingo_head		emu          
